Name,Year of Release,Genres,Rating,Actors,Director,Description,Image
Spider-Man: Beyond the Spider-Verse,Animation,,,,,"After leaving off from Spider-Man: Across the Spider-Verse, the story continues.","https://m.media-amazon.com/images/M/MV5BYWJlNThmNWMtZWE5Zi00YWJiLWJiOTQtZWY1Y2I3ZmNhMDYwXkEyXkFqcGdeQXVyMTk2OTAzNTI@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Batman Begins,2005,Action Crime Drama ,8.2,ChristianBale MichaelCaine KenWatanabe ,ChristopherNolan,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.","https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Paint,2023,Comedy Drama ,5,OwenWilson ElisabethHenry PaulKosopod ,BritMcAdams,"Carl Nargle, Vermont's #1 public television painter, is convinced he has it all: a signature perm, custom van, and fans hanging on his every stroke - until a younger, better artist steals everything (and everyone) Carl loves.","https://m.media-amazon.com/images/M/MV5BMWFmOTU2ZjctN2VhMS00Yzg4LWIyOGEtMTgwZTdjYTMyZjNkXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Nice Guys,2016,Action Comedy Crime ,7.4,RussellCrowe RyanGosling AngourieRice ,ShaneBlack,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.","https://m.media-amazon.com/images/M/MV5BODNlNmU4MGItMzQwZi00NGQyLWEyZWItYjFkNmI0NWI4NjBhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Aftersun,2022,Drama ,7.6,PaulMescal FrankieCorio CeliaRowlson-Hall ,CharlotteWells,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...,"https://m.media-amazon.com/images/M/MV5BMTM3OTU0ZGUtNzYwYy00ODU3LWI3YjgtOWZlODliMmRiMWEzXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_QL75_UX72_CR0,0,72,107_.jpg"
Problemista,2023,Comedy ,7.5,JulioTorres TildaSwinton RZA ,JulioTorres,"Alejandro is an aspiring toy designer from El Salvador struggling to bring his unusual ideas to life in NY. As time runs out on his work visa, a job assisting an erratic art-world outcast becomes his only hope to stay in the country.","https://m.media-amazon.com/images/M/MV5BODQ4MTAwOTgtMjY3OS00YWFjLWJkYmMtMDI5MjA1OThiNTE3XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_QL75_UX72_CR0,1,72,107_.jpg"
The Lion King,1994,Animation Adventure Drama ,8.5,MatthewBroderick JeremyIrons JamesEarlJones ,RogerAllers,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
IF,2024,Comedy Drama Family ,,,,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,"https://m.media-amazon.com/images/M/MV5BNWViZjhjZjYtZTBkMy00Nzg0LTg1ODgtYjMxNjM3MDJmNWNkXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UY107_CR7,0,72,107_.jpg"
Coogan's Bluff,1968,Action Crime Thriller ,6.4,ClintEastwood LeeJ.Cobb SusanClark ,DonSiegel,Arizona Deputy Sheriff Coogan is sent to New York City to escort an escaped fugitive back for trial.,"https://m.media-amazon.com/images/M/MV5BOWMzZGRiNDktN2NiNS00MGNlLWFlNWYtOGIyNjJkNDdkZTllXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX72_CR0,1,72,107_.jpg"
The Shining,1980,Drama Horror ,8.4,JackNicholson ShelleyDuvall DannyLloyd ,StanleyKubrick,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,1,72,107_.jpg"
28 Days Later,2002,Drama Horror Sci-Fi ,7.5,CillianMurphy NaomieHarris ChristopherEccleston ,DannyBoyle,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.","https://m.media-amazon.com/images/M/MV5BYTFkM2ViMmQtZmI5NS00MjQ2LWEyN2EtMTI1ZmNlZDU3MTZjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX72_CR0,1,72,107_.jpg"
The Green Mile,1999,Crime Drama Fantasy ,8.6,TomHanks MichaelClarkeDuncan DavidMorse ,FrankDarabont,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.","https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Hateful Eight,2015,Crime Drama Mystery ,7.8,SamuelL.Jackson KurtRussell JenniferJasonLeigh ,QuentinTarantino,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.","https://m.media-amazon.com/images/M/MV5BMjA1MTc1NTg5NV5BMl5BanBnXkFtZTgwOTM2MDEzNzE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Devil Wears Prada,2006,Comedy Drama ,6.9,AnneHathaway MerylStreep AdrianGrenier ,DavidFrankel,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.","https://m.media-amazon.com/images/M/MV5BZjQ3ZTIzOTItMGNjNC00MWRmLWJlMGEtMjJmMDM5ZDIzZGM3XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_QL75_UY107_CR0,0,72,107_.jpg"
10 Things I Hate About You,1999,Comedy Drama Romance ,7.3,HeathLedger JuliaStiles JosephGordon-Levitt ,GilJunger,"A high-school boy, Cameron, cannot date Bianca until her anti-social older sister, Kat, has a boyfriend. So, Cameron pays a mysterious boy, Patrick, to charm Kat.","https://m.media-amazon.com/images/M/MV5BMmVhZjhlZDYtMDAwZi00MDcyLTgzOTItOWNiZjY0YmE0MGE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Pearl,2022,Drama Horror Thriller ,7,MiaGoth DavidCorenswet TandiWright ,TiWest,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation, and lovelessness of life on her parents' farm.","https://m.media-amazon.com/images/M/MV5BZTFkNmE5MjUtZDE1Yi00ZmQyLTk2YWUtN2EwODA1ZmNlOTA5XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Family Plan,2023,Action Comedy ,6.3,MarkWahlberg MichelleMonaghan CiaránHinds ,SimonCellanJones,A former top assassin living incognito as a suburban dad must take his unsuspecting family on the run when his past catches up to him.,"https://m.media-amazon.com/images/M/MV5BZWQzZWFmOWMtODM4Ni00YjYwLWI4ZTYtOTkwZmYyMzFkN2E2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Code 8: Part II,2024,Action Crime Drama ,5.7,RobbieAmell StephenAmell AlexMallariJr. ,JeffChan,"Follows a girl fighting to get justice for her slain brother by corrupt police officers. She enlists the help of an ex-con and his former partner, they face a highly regarded and well protected police sergeant who doesn't want to be.","https://m.media-amazon.com/images/M/MV5BNmEyNzNlZjgtNzg1Zi00MTZjLWE5NGQtNDljNzUzYTJiODliXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,0,72,107_.jpg"
First Daughter,2004,Comedy Drama Romance ,5.1,KatieHolmes MarcBlucas MichaelKeaton ,ForestWhitaker,The daughter of the U.S. President heads off to college where she falls for a graduate student with a secret.,"https://m.media-amazon.com/images/M/MV5BMTk5MDI5NTE4N15BMl5BanBnXkFtZTYwNjQ0NTE3._V1_QL75_UY107_CR1,0,72,107_.jpg"
American Pie,1999,Comedy ,7,JasonBiggs ChrisKlein ThomasIanNicholas ,PaulWeitz,Four teenage boys enter a pact to lose their virginity by prom night.,"https://m.media-amazon.com/images/M/MV5BMTg3ODY5ODI1NF5BMl5BanBnXkFtZTgwMTkxNTYxMTE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Terminator 2: Judgment Day,1991,Action Adventure Sci-Fi ,8.6,ArnoldSchwarzenegger LindaHamilton EdwardFurlong ,JamesCameron,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Troy,2004,Drama ,7.3,BradPitt EricBana OrlandoBloom ,WolfgangPetersen,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.","https://m.media-amazon.com/images/M/MV5BMTk5MzU1MDMwMF5BMl5BanBnXkFtZTcwNjczODMzMw@@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Twilight,2008,Drama Fantasy Romance ,5.3,KristenStewart RobertPattinson BillyBurke ,CatherineHardwicke,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.","https://m.media-amazon.com/images/M/MV5BMTQ2NzUxMTAxN15BMl5BanBnXkFtZTcwMzEyMTIwMg@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Dunkirk,2017,Action Drama History ,7.8,FionnWhitehead BarryKeoghan MarkRylance ,ChristopherNolan,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.","https://m.media-amazon.com/images/M/MV5BN2YyZjQ0NTEtNzU5MS00NGZkLTg0MTEtYzJmMWY3MWRhZjM2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
A Clockwork Orange,1971,Crime Sci-Fi ,8.3,MalcolmMcDowell PatrickMagee MichaelBates ,StanleyKubrick,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
No Way Up,2024,Action Adventure Drama ,4.6,ColmMeaney WillAttenborough JeremiasAmoore ,ClaudioFäh,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,"https://m.media-amazon.com/images/M/MV5BMTEyOTQzZjgtMDM1OC00MWMxLWI2ZGUtYWUwOTQxNTRmZTU0XkEyXkFqcGdeQXVyNTU1MDIzMzg@._V1_QL75_UY107_CR7,0,72,107_.jpg"
The Dead Don't Hurt,2023,Drama Western ,7,VickyKrieps ViggoMortensen SollyMcLeod ,ViggoMortensen,"Set in the 1860s, the fiercely independent French Canadian Vivienne Le Coudy embarks on a relationship with Danish immigrant Holger Olsen.","https://m.media-amazon.com/images/M/MV5BODk5Y2JiYjItZDE3Mi00ODdkLTg1YzYtZDBiZjE5ZDQ5NzAwXkEyXkFqcGdeQXVyMzIzNTU2NzI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Eyes Wide Shut,1999,Drama Mystery Thriller ,7.5,TomCruise NicoleKidman ToddField ,StanleyKubrick,"A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing.","https://m.media-amazon.com/images/M/MV5BYzMzZjcyNzEtZjE2OC00Yjk3LWExOGItODdhNzhkZTdmM2M0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UY107_CR0,0,72,107_.jpg"
The Abyss,1989,Adventure Drama Mystery ,7.5,EdHarris MaryElizabethMastrantonio MichaelBiehn ,JamesCameron,A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.,"https://m.media-amazon.com/images/M/MV5BYmU4NmUxZjEtYjY0OC00ZDAwLTg0MGQtMDRkNDk5NWQ0OTQ5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Saving Private Ryan,1998,Drama War ,8.6,TomHanks MattDamon TomSizemore ,StevenSpielberg,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Wrath of Man,2021,Action Crime Thriller ,7.1,JasonStatham HoltMcCallany JoshHartnett ,GuyRitchie,A cold and mysterious character working at a cash truck company responsible for moving a lot of money around Los Angeles each week.,"https://m.media-amazon.com/images/M/MV5BNGVkOTlhOTktNjZiNS00NDg3LWIxMDAtZTY5Y2E0YjllN2IxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Suicide Squad,2016,Action Adventure Fantasy ,5.9,WillSmith JaredLeto MargotRobbie ,DavidAyer,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,"https://m.media-amazon.com/images/M/MV5BMjM1OTMxNzUyM15BMl5BanBnXkFtZTgwNjYzMTIzOTE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Glass Onion,2022,Comedy Crime Drama ,7.1,DanielCraig EdwardNorton KateHudson ,RianJohnson,"Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island. When someone turns up dead, Detective Benoit Blanc is put on the case.","https://m.media-amazon.com/images/M/MV5BYmZlZDZkZjYtNzE5Mi00ODFhLTk2OTgtZWVmODBiZTI4NGFiXkEyXkFqcGdeQXVyMTE5MTg5NDIw._V1_QL75_UX72_CR0,1,72,107_.jpg"
Death on the Nile,2022,Crime Drama Mystery ,6.3,TomBateman AnnetteBening KennethBranagh ,KennethBranagh,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.","https://m.media-amazon.com/images/M/MV5BNjI4ZTQ1OTYtNTI0Yi00M2EyLThiNjMtMzk1MmZlOWMyMDQwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX72_CR0,0,72,107_.jpg"
Kraven the Hunter,2024,Action Adventure Sci-Fi ,,,,Russian immigrant Sergei Kravinoff is on a mission to prove that he is the greatest hunter in the world.,"https://m.media-amazon.com/images/M/MV5BZWNhOWY4OTUtNDIwZC00ZTMzLTgzNDgtZGU5OWM0ODcwYmVlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,0,72,107_.jpg"
Cinderella,2015,Adventure Drama Family ,6.9,LilyJames CateBlanchett RichardMadden ,KennethBranagh,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.","https://m.media-amazon.com/images/M/MV5BMjMxODYyODEzN15BMl5BanBnXkFtZTgwMDk4OTU0MzE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Ocean's Eleven,2001,Crime Thriller ,7.7,GeorgeClooney BradPitt JuliaRoberts ,StevenSoderbergh,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,"https://m.media-amazon.com/images/M/MV5BYzVmYzVkMmUtOGRhMi00MTNmLThlMmUtZTljYjlkMjNkMjJkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX72_CR0,0,72,107_.jpg"
"Lock, Stock and Two Smoking Barrels",1998,Action Comedy Crime ,8.1,JasonFlemyng DexterFletcher NickMoran ,GuyRitchie,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.","https://m.media-amazon.com/images/M/MV5BMTAyN2JmZmEtNjAyMy00NzYwLThmY2MtYWQ3OGNhNjExMmM4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Stardust,2007,Adventure Family Fantasy ,7.6,CharlieCox ClaireDanes SiennaMiller ,MatthewVaughn,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.","https://m.media-amazon.com/images/M/MV5BMjkyMTE1OTYwNF5BMl5BanBnXkFtZTcwMDIxODYzMw@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The King,2019,Biography Drama History ,7.3,TomGlynn-Carney GáborCzap TomFisher ,DavidMichôd,"Young Henry V encounters deceit, war and treachery after becoming King of England in the 15th century, in the aftermath of his brother's death.","https://m.media-amazon.com/images/M/MV5BMWZkNzNlMzMtMjM5ZS00MWYzLWFmMmUtMjE1ODM3NjBlODA5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Gray Man,2022,Action Thriller ,6.5,RyanGosling ChrisEvans AnadeArmas ,JoeRusso,"When the CIA's most skilled operative, whose true identity is known to none, accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.","https://m.media-amazon.com/images/M/MV5BOWY4MmFiY2QtMzE1YS00NTg1LWIwOTQtYTI4ZGUzNWIxNTVmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
From Dusk Till Dawn,1996,Action Crime Horror ,7.2,HarveyKeitel GeorgeClooney JulietteLewis ,RobertRodriguez,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.","https://m.media-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,1,72,107_.jpg"
The Mummy,1999,Action Adventure Fantasy ,7.1,BrendanFraser RachelWeisz JohnHannah ,StephenSommers,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.","https://m.media-amazon.com/images/M/MV5BOTJiYjBhZDgtMjhiOC00MTIzLThlNGMtMmI1NjIwM2M3YTI5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Zodiac,2007,Crime Drama Mystery ,7.7,JakeGyllenhaal RobertDowneyJr. MarkRuffalo ,DavidFincher,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.","https://m.media-amazon.com/images/M/MV5BN2UwNDc5NmEtNjVjZS00OTI5LWE5YjctMWM3ZjBiZGYwMGI2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY107_CR0,0,72,107_.jpg"
The Fantastic Four,2025,Action Adventure Sci-Fi ,,,,"One of Marvel's most iconic families makes it back to the big screen, the Fantastic Four.","https://m.media-amazon.com/images/M/MV5BZTg3NjllZDQtMzFhMi00YzFkLTk4ZDQtNDYzNDNiNjBhODZhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY107_CR6,0,72,107_.jpg"
The Reader,2008,Drama Mystery Romance ,7.6,KateWinslet RalphFiennes BrunoGanz ,StephenDaldry,"Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.","https://m.media-amazon.com/images/M/MV5BMTM0NDQxNjA0N15BMl5BanBnXkFtZTcwNDUwMzcwMg@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
No Time to Die,2021,Action Adventure Thriller ,7.3,DanielCraig AnadeArmas RamiMalek ,CaryJojiFukunaga,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","https://m.media-amazon.com/images/M/MV5BYWQ2NzQ1NjktMzNkNS00MGY1LTgwMmMtYTllYTI5YzNmMmE0XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Tyson's Run,2022,Drama ,6.1,MajorDodson AmySmart RoryCochrane ,KimBass,An unathletic boy with autism strives to become an unlikely marathon champion giving his unfulfilled father purpose and a second chance at putting his family first.,"https://m.media-amazon.com/images/M/MV5BODQ3NGE3MzYtNDJkZS00MWUyLTk0NmEtOGMwMjMyZjY1YjM2XkEyXkFqcGdeQXVyMjI0NjI0Nw@@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Harry Potter and the Deathly Hallows: Part 2,2011,Adventure Family Fantasy ,8.1,DanielRadcliffe EmmaWatson RupertGrint ,DavidYates,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Iron Eagle,1986,Action Thriller War ,5.5,LouisGossettJr. JasonGedrick DavidSuchet ,SidneyJ.Furie,"A young pilot plans a rescue mission when his father, an Air Force Colonel, is shot down over enemy territory and captured.","https://m.media-amazon.com/images/M/MV5BZGY3MWIzZGYtOTliMy00YzQzLTgwNjgtNjlkYTA2Y2Y5YTVkL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Nope,2022,Horror Mystery Sci-Fi ,6.8,DanielKaluuya KekePalmer BrandonPerea ,JordanPeele,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,"https://m.media-amazon.com/images/M/MV5BMGIyNTI3NWItNTJkOS00MGYyLWE4NjgtZDhjMWQ4Y2JkZTU5XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_QL75_UX72_CR0,11,72,107_.jpg"
The Color Purple,2023,Drama Musical ,6.9,FantasiaBarrino TarajiP.Henson DanielleBrooks ,BlitzBazawule,"A woman faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.","https://m.media-amazon.com/images/M/MV5BYjBkNGE0NGYtYmU5Ny00NjRiLTk5MmYtMWU4NzYxMDE4YWY4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,0,72,107_.jpg"
